Date: 2024:11:18 	 19:53	 Message: GET /
Date: 2024:11:18 	 19:53	 Message: GET /css/main.css
Date: 2024:11:18 	 19:53	 Message: GET /gfds
Date: 2024:11:18 	 19:53	 Message: GET /css/404.css
Date: 2024:11:18 	 19:54	 Message: GET /gfds
Date: 2024:11:18 	 19:54	 Message: GET /gfds
Date: 2024:11:18 	 19:54	 Message: GET /css/404.css
Date: 2024:11:18 	 19:54	 Message: GET /gfds
Date: 2024:11:18 	 19:54	 Message: GET /css/404.css
Date: 2024:11:18 	 19:54	 Message: GET /gfds
Date: 2024:11:18 	 19:54	 Message: GET /css/404.css
Date: 2024:11:18 	 19:54	 Message: GET /
Date: 2024:11:18 	 19:54	 Message: GET /css/main.css
Date: 2024:11:18 	 20:00	 Message: GET /new-page
Date: 2024:11:18 	 20:00	 Message: GET /new-page
Date: 2024:11:18 	 20:00	 Message: GET /css/main.css
Date: 2024:11:18 	 20:01	 Message: GET /old-page
Date: 2024:11:18 	 20:01	 Message: GET /css/404.css
Date: 2024:11:18 	 20:02	 Message: GET /old-page
Date: 2024:11:18 	 20:02	 Message: GET /new-page
Date: 2024:11:18 	 20:02	 Message: GET /css/main.css
Date: 2024:11:18 	 20:02	 Message: GET /new-page
Date: 2024:11:18 	 20:02	 Message: GET /css/main.css
Date: 2024:11:19 	 20:19	 Message: GET /
Date: 2024:11:19 	 20:19	 Message: GET /css/main.css
Date: 2024:11:19 	 20:19	 Message: GET /favicon.ico
Date: 2024:11:19 	 20:20	 Message: GET /subdir
Date: 2024:11:19 	 20:20	 Message: GET /subdir
Date: 2024:11:19 	 20:20	 Message: GET /css/main.css
Date: 2024:11:19 	 20:20	 Message: GET /subdir/index.html
Date: 2024:11:19 	 20:20	 Message: GET /css/main.css
Date: 2024:11:19 	 20:20	 Message: GET /subdir
Date: 2024:11:19 	 20:20	 Message: GET /css/main.css
Date: 2024:11:19 	 20:20	 Message: GET /subdirrrr
Date: 2024:11:19 	 20:20	 Message: GET /css/404.css
Date: 2024:11:19 	 20:21	 Message: GET /subdirrrr
Date: 2024:11:19 	 20:21	 Message: GET /css/404.css
Date: 2024:11:19 	 20:21	 Message: GET /sub
Date: 2024:11:19 	 20:21	 Message: GET /css/404.css
Date: 2024:11:19 	 20:21	 Message: GET /subdir/ffg
Date: 2024:11:19 	 20:21	 Message: GET /css/404.css
Date: 2024:11:19 	 20:21	 Message: GET /subdir/ffg
Date: 2024:11:19 	 20:21	 Message: GET /css/404.css
Date: 2024:11:19 	 20:21	 Message: GET /subdir/dave
Date: 2024:11:19 	 20:21	 Message: GET /css/404.css
Date: 2024:11:19 	 20:22	 Message: GET /subdir/dave.html
Date: 2024:11:19 	 20:22	 Message: GET /css/404.css
Date: 2024:11:19 	 20:22	 Message: GET /subdir/dave.html
Date: 2024:11:19 	 20:22	 Message: GET /css/404.css
Date: 2024:11:19 	 20:22	 Message: GET /subdir/dave.html
Date: 2024:11:19 	 20:22	 Message: GET /css/404.css
Date: 2024:11:19 	 20:22	 Message: GET /subdir
Date: 2024:11:19 	 20:22	 Message: GET /subdir/
Date: 2024:11:19 	 20:22	 Message: GET /css/main.css
Date: 2024:11:19 	 20:22	 Message: GET /subdir/
Date: 2024:11:19 	 20:22	 Message: GET /css/main.css
Date: 2024:11:19 	 20:22	 Message: GET /subdir/
Date: 2024:11:19 	 20:22	 Message: GET /css/main.css
Date: 2024:11:19 	 20:22	 Message: GET /fds
Date: 2024:11:19 	 20:22	 Message: GET /css/404.css
Date: 2024:11:19 	 20:22	 Message: GET /
Date: 2024:11:19 	 20:22	 Message: GET /css/main.css
Date: 2024:11:19 	 20:24	 Message: GET /
Date: 2024:11:19 	 20:24	 Message: GET /css/404.css
Date: 2024:11:19 	 20:25	 Message: GET /
Date: 2024:11:19 	 20:25	 Message: GET /
Date: 2024:11:19 	 20:25	 Message: GET /index.html
Date: 2024:11:19 	 20:27	 Message: GET /index.html
Date: 2024:11:19 	 20:27	 Message: GET /css/main.css
Date: 2024:11:19 	 20:27	 Message: GET /index.html
Date: 2024:11:19 	 20:27	 Message: GET /css/main.css
Date: 2024:11:19 	 20:27	 Message: GET /
Date: 2024:11:19 	 20:27	 Message: GET /css/main.css
Date: 2024:11:19 	 20:28	 Message: GET /contact
Date: 2024:11:19 	 20:28	 Message: GET /css/main.css
Date: 2024:11:19 	 20:28	 Message: GET /sundir
Date: 2024:11:19 	 20:28	 Message: GET /css/404.css
Date: 2024:11:19 	 20:28	 Message: GET /subdir/
Date: 2024:11:19 	 20:28	 Message: GET /css/main.css
